,CBOEVIX,S&PCOMP,SMB,HML,SBcov,HLcov,MKT,SMB_mom,HML_mom,MKT_mom,CBOEVIX_d,CBOEVIX_roll,CBOEVIX_spr,MKTVol,SMBVol,HMLVol,MSCov,MHCov,SHCov,MKTp,SMBp,HMLp,MSCovp,MHCovp,SHCovp,Rsqr,classifier
2015-12-07,15.84,2077.07,-0.013900000000000001,-0.012000000000000002,0.6785065705432284,1.0312165433504163,-0.00698956346303703,0.920991675390999,0.8501718897479199,1.0008191310465129,0.009978262087443597,0.010442193479942057,-0.00046393139249845984,9.472543481251738e-05,5.393472222222254e-05,5.8939007936507245e-05,-5.7218402379555904e-05,2.4634919080117498e-05,3.22248181875716e-06,165.09282904374635,-82.40541500783371,-939.5512942641964,-32.28030402993471,411.26802171039276,158.1182581575524,0.48357598536688806,1.0
2015-12-08,17.6,2063.59,0.0035000000000000005,-0.014100000000000001,0.6756737668374168,1.0308692484032211,-0.006489911269239812,0.9290461864242737,0.8328541992274185,1.00159199343788,0.011086957874937332,0.010451455109389805,0.0006355027655475277,9.46836158181194e-05,5.387603174603206e-05,5.9565396825396134e-05,-5.770195679356668e-05,2.574664344385477e-05,3.0937456523118302e-06,166.02541675142697,-70.93267896040443,-943.5053240718898,-32.491412440290105,398.23595201681,169.9782203972294,0.4916073827828673,1.0
2015-12-09,19.61,2047.62,0.0009999999999999998,0.0026999999999999993,0.6788941282489136,1.0351111111111198,-0.007738940390290883,0.911115149025862,0.8380360316761992,0.9940771523725365,0.012353138859518243,0.010461591656599146,0.0018915472029190968,9.492105485014288e-05,5.217964285714317e-05,5.95457142857136e-05,-5.773648303512228e-05,2.5530732210882686e-05,3.600250426864413e-06,165.95148213077582,-59.87336528025705,-938.7584470781562,-32.627981234424354,384.6137758753105,177.91619509510537,0.4934588329575552,1.0
2015-12-10,19.34,2052.23,-0.002,-0.0011,0.6664334092202661,1.0221546907607748,0.00225139430167709,0.9121204922537985,0.8378682734874935,1.012876701511249,0.01218305484666409,0.010468503506915748,0.0017145513397483422,9.388024306422863e-05,5.215738095238127e-05,5.954730158730089e-05,-5.8126227260259994e-05,2.5493419909691834e-05,3.6008942009743223e-06,166.50480886446778,-50.245396355976055,-931.2084457393717,-31.979432793893125,371.68578353434657,185.55398929137817,0.4928409206130183,1.0
2015-12-11,24.39,2012.37,0.00030000000000000024,-0.0072000000000000015,0.6809419433377644,1.0464987478656884,-0.01942277425044958,0.9127592320943121,0.8343386378318799,0.9887192740243582,0.015364255827825087,0.01047490290540056,0.004889352922424527,9.529560584329333e-05,5.2157103174603486e-05,5.971730158730089e-05,-5.822290995586961e-05,2.65878971732484e-05,3.566622399292162e-06,166.47488106454722,-52.48890986735404,-928.4001942095499,-31.18717207295586,374.92269478208044,186.43743676972977,0.4898919523787356,1.0
2015-12-14,22.73,2021.94,-0.0171,-0.013000000000000001,0.6745473882248825,1.034672680705757,0.00475558669628362,0.8880046018266848,0.831642330377768,1.0097935904671076,0.014318554119166224,0.010482352205199288,0.003836201913966936,9.434217410470885e-05,5.289646825396857e-05,6.00068253968247e-05,-5.746529701452929e-05,2.494649843741279e-05,5.980494529817678e-06,174.06030963454313,-80.47135809654415,-930.5538708453089,-24.174215026608692,402.65604470419146,180.3139464035032,0.4821091998329028,1.0
2015-12-15,20.95,2043.41,-0.00040000000000000034,0.020300000000000002,0.6754247328147769,1.037800486941133,0.010618514891638675,0.8916618784389294,0.8509925480738512,1.0270301513346702,0.013197259515905516,0.010485076949085402,0.002712182566820114,9.462996833488145e-05,5.2816746031746345e-05,6.160873015872947e-05,-5.7671449985978794e-05,2.6584013473982155e-05,5.913955606147281e-06,169.96964664585204,-76.91201435940413,-920.7966245470424,-24.833321273256445,403.0149499460284,187.87035326264117,0.4743679438511216,1.0
2015-12-16,17.86,2073.07,-0.0034000000000000007,-0.0014000000000000013,0.6832320574843526,1.0432449313855774,0.014514952946300674,0.8787878046402655,0.8468372282078203,1.0508581972282203,0.011250742479907995,0.010478602557649597,0.0007721399222583979,9.51800495813093e-05,5.236484126984159e-05,6.156789682539613e-05,-5.7200101583365066e-05,2.6780108969529527e-05,5.549629418833045e-06,168.00483621057003,-80.32044787863221,-911.1338740696962,-23.670432988384647,408.52623255962186,190.17865892628296,0.4671568866661162,1.0
2015-12-17,18.94,2041.89,0.0116,-0.0103,0.6643446673623011,1.0334739470688759,-0.015040495497016582,0.8836796651829943,0.8319583132393081,1.0144071459443877,0.011931078531324607,0.010470840787221729,0.001460237744102878,9.443400270228264e-05,5.2755952380952705e-05,6.177158730158661e-05,-5.9705166210856085e-05,2.665173829673052e-05,4.206397268071014e-06,174.97354257493856,-115.7617607410733,-911.8445931148593,-17.40741158735554,440.02025925044103,173.74356969054912,0.46690541346488856,1.0
2015-12-18,20.7,2005.55,0.019,-0.0068,0.6476285587807542,1.0215443053184177,-0.017797236873680844,0.9095652311327995,0.8257229906158511,0.9729870029060304,0.013039774318818339,0.010475077888952885,0.002564696429865454,9.340229935973193e-05,5.3791666666666994e-05,6.195313492063423e-05,-6.062638585397149e-05,2.7245449511546317e-05,3.373392778094414e-06,171.67804379869875,-114.73335306897239,-903.2685295087185,-18.012826944742642,441.3234832851053,173.3532643717717,0.4618750688739449,1.0
2015-12-21,18.7,2021.15,-0.004300000000000001,0.0020000000000000005,0.6483403971415965,1.0227971890216996,0.007778414898656383,0.9071054693899523,0.826878309611314,0.9760944630912993,0.011779892742120915,0.010482702172303932,0.0012971905698169837,9.355951382418263e-05,5.385488095238128e-05,6.196757936507867e-05,-6.0826763828296555e-05,2.7366743416924163e-05,3.3008483526217017e-06,158.04601569778234,-88.33180784876113,-891.6352930783157,-24.79548826251775,429.00688863702055,184.47412861260727,0.45483817427927,1.0
2015-12-22,16.6,2038.97,-0.0053,0.0016999999999999993,0.648692487194085,1.0251182697780392,0.008816762734086936,0.9012163507812485,0.825230649335114,0.980962598747197,0.01045701708658862,0.010487151754062904,-3.0134667474283547e-05,9.381037165937244e-05,5.3960634920635244e-05,6.192472222222153e-05,-6.122269927471226e-05,2.7402226175114647e-05,3.1500626067164334e-06,151.08803757933032,-68.7008941477456,-884.1964548669107,-28.43074678689665,415.8202715340436,193.9768196011284,0.4525972943727199,1.0
2015-12-23,15.57,2064.29,0.0010000000000000009,0.009,0.654508423449065,1.0364254157971373,0.012418034595898853,0.9054677979845714,0.8187391594681709,0.9914128049102612,0.009808178074589446,0.010489801504998023,-0.0006816234304085761,9.44102034325439e-05,5.39102777777781e-05,6.109932539682471e-05,-6.103995290722965e-05,2.8119216089015892e-05,3.7269616771015595e-06,152.61416230177096,-52.178581704470716,-881.8451793439655,-28.090983821074403,396.0366830704189,206.7969784082881,0.45599988158727545,1.0
2015-12-24,15.74,2060.99,0.0041,0.0008,0.6544170049958935,1.0364124928856089,-0.0015986125980361754,0.9038475156141847,0.8231807823947606,0.9899658001421795,0.009915268008608728,0.010492476253583469,-0.0005772082449747411,9.442026757516544e-05,5.383884920634953e-05,6.101789682539614e-05,-6.108979502398635e-05,2.8094735241843644e-05,3.974508632138555e-06,161.2098279638454,-46.01672882892218,-876.2286089605201,-23.855480056546426,374.6665082056461,211.7816689480827,0.45822989683185744,1.0
2015-12-28,16.91,2056.5,-0.006000000000000001,-0.009,0.6538941235059802,1.036504723961306,-0.0021785646703768036,0.8947559312025699,0.8221851999125261,0.9845507164503515,0.01065229873097672,0.010497200809496085,0.00015509792148063473,9.43956377977835e-05,5.391500000000032e-05,6.109789682539615e-05,-6.111129280286494e-05,2.8424085831533085e-05,4.595959021059064e-06,170.50256309935398,-36.99838735895928,-868.6427931412139,-19.261953795743494,348.60454508119113,218.0933834888587,0.4610122816182505,1.0
2015-12-29,16.08,2078.36,-0.003799999999999999,-0.0020999999999999994,0.6573604281287588,1.0420806962625773,0.010629710673474513,0.8907323460217844,0.8179230495391382,0.9941594876038594,0.010129447876647288,0.010501487906527903,-0.0003720400298806159,9.484106690062338e-05,5.3970357142857456e-05,6.107726190476122e-05,-6.140484128551293e-05,2.828403240134598e-05,4.597583949915067e-06,178.40362300938258,-27.54942124179233,-860.6743173856379,-15.188163325383073,324.52572337164315,224.39200444383678,0.46349134652848156,1.0
